epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5635,1.57566,3.40511,1.3259,0.00584,0.93347,0.24289,0.12766,1.29659,3.15986,1.06832,0.00053344,0.00053344,0.00053344
2,39.2851,1.44918,2.21715,1.22003,0.887,0.03448,0.17812,0.08524,1.45197,3.13903,1.26234,0.000976279,0.000976279,0.000976279
3,59.0722,1.43153,2.00106,1.21569,0.73546,0.4311,0.53271,0.29519,1.42947,2.04562,1.27886,0.0013102,0.0013102,0.0013102
4,77.3857,1.40079,1.83367,1.19961,0.58466,0.67214,0.63576,0.36094,1.36619,1.50283,1.21557,0.0011719,0.0011719,0.0011719
5,94.6089,1.35542,1.62969,1.18739,0.70118,0.64676,0.68653,0.41292,1.33259,1.35806,1.23525,0.00100687,0.00100687,0.00100687
6,112.63,1.36431,1.49123,1.18366,0.69078,0.77327,0.72889,0.42213,1.35424,1.25446,1.21122,0.000841835,0.000841835,0.000841835
7,131.336,1.30435,1.35716,1.14904,0.59773,0.7387,0.7411,0.44634,1.32523,1.20179,1.1775,0.000676802,0.000676802,0.000676802
8,148.678,1.2963,1.2684,1.13169,0.68125,0.75253,0.73412,0.43809,1.37622,1.20648,1.19499,0.000511769,0.000511769,0.000511769
9,166.045,1.26942,1.22138,1.13906,0.67253,0.84314,0.76945,0.48216,1.24539,1.0149,1.15362,0.000346736,0.000346736,0.000346736
10,184.323,1.23873,1.15967,1.10357,0.72383,0.86862,0.81451,0.49353,1.29579,0.96526,1.16006,0.000181703,0.000181703,0.000181703
