epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4291,1.64952,4.13505,1.40487,0.4813,0.64224,0.49678,0.26696,1.5033,2.50548,1.35137,0.00053344,0.00053344,0.00053344
2,40.2385,1.47409,1.50632,1.26627,0.15957,0.56192,0.15193,0.07838,1.48608,nan,1.32701,0.000976279,0.000976279,0.000976279
3,62.9864,1.45298,1.29515,1.24447,0.44109,0.72742,0.55099,0.2958,1.51017,1.64488,1.37409,0.0013102,0.0013102,0.0013102
4,85.4962,1.41467,1.23936,1.22297,0.46255,0.65388,0.5907,0.32911,1.43327,1.8765,1.40738,0.0011719,0.0011719,0.0011719
5,107.077,1.39849,1.15593,1.23686,0.59811,0.68834,0.67185,0.36197,1.49672,1.34613,1.35492,0.00100687,0.00100687,0.00100687
6,129.14,1.39336,1.06778,1.21184,0.70035,0.69341,0.71514,0.38872,1.38978,1.10626,1.27916,0.000841835,0.000841835,0.000841835
7,151.396,1.3401,0.94936,1.20021,0.68291,0.76665,0.75599,0.4532,1.30795,0.96291,1.21405,0.000676802,0.000676802,0.000676802
8,172.055,1.30025,0.89863,1.18327,0.69471,0.84716,0.80655,0.48073,1.37835,0.91442,1.22538,0.000511769,0.000511769,0.000511769
9,194.266,1.28063,0.8511,1.17067,0.72614,0.83535,0.78717,0.49304,1.28823,0.88092,1.18047,0.000346736,0.000346736,0.000346736
10,214.737,1.24907,0.79414,1.13877,0.72612,0.81915,0.79534,0.49651,1.27876,0.87582,1.17888,0.000181703,0.000181703,0.000181703
